,opportunityId,title,description,agencyName,agencyAddress,placesAvailable,applicationInstructions,applicationRequirements,startDate,endDate,applicationStartDate,applicationEndDate,salaryAmountMin,salaryAmountMax,salaryCurrency
0,18469,Data & Front-End Developer Intern,"Responsibilities:
Develop Hiverlab's business intelligence program (Python mainly)
Develop data integration program with Hiverlab's data visualization platform
Maintain Hiverlab's web-based product platform development (front-end)
Collaborate with other team members to build data platforms/services for data analytics and data science teams.
Develop new ETL data pipelines and maintain existing data pipelines.
Build tools to manage, automate and monitor our data and data processing infrastructure on AWS, GCP, and Huawei Cloud.
Manage and process large amounts of data in near real-time to deliver up-to-date metrics.
Build real-time streaming/processing and batch processing pipelines.

Qualifications:
Experience in Python programming language.
Solid knowledge of SQL.
Good knowledge on data structure and algorithms and an ability to use them practically when implementing solutions.
Experience with cloud services such as AWS, Azure, GCP, or Huawei Cloud.
Experience in using predictive models using statistical or machine learning methods, and building dashboards in tools such as Tableau, Google Data Studio or Microsoft Power BI. 

Good to have:
Experience in developing and maintaining ETL data pipelines.
Experience in building tools to manage, automate and monitor data and data processing infrastructure.",Hiverlab Pte Ltd,"1008/#04-12/14/15 / 1008 Toa Payoh North, 318996, SINGAPORE",2,Please ensure that you attach a copy of your C.V. with your application.,,2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,,,
1,18470,Unity Developer (Intern),"Responsibilities:
Collaborate closely with the development team to deliver PC / webGL / android / iOS apps;
Able to handle 2D/3D art assets, including GUI setup, animations, lighting and shaders;
Write polished, optimized, and documented code with an eye towards re-usability for multiple projects;
Ability to deliver project requirements timely;
Other ad-hoc duties, if necessary.

Qualifications:
Strong knowledge of Unity3D, C# and/or javascript;
Proficiency in object-oriented programming, data structure, and algorithm;
Self-initiated, with the ability to manage your own time effectively with minimal supervision;
Good communication and interpersonal skills.

Good to have:
Previous experiences developing apps for AR/VR is highly favourable;
Game design experiences (double bonus for multi-player game design);",Hiverlab Pte Ltd,"1008/#04-12/14/15 / 1008 Toa Payoh North, 318996, SINGAPORE",2,Please ensure that you attach a copy of your C.V. with your application.,,2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,,,
2,18471,Developing 3D Applications Solution for Machine Vision,"To develop a software platform for 3D application used in machine vision
- Integrate of hardware (3D cameras)
- Design algorithm for 3D applications
- Design user interface for 3D applications",Inspiraz Technology Pte Ltd,"Blk 19 Kallang Avenue #06-163, 339410, Singapore",2,Please ensure that you attach a copy of your C.V. with your application.,"C/C++
Visual Studio
Image processing
OpenCV (Optional)
OpenGL (Optional)
CUDA (Optional)",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,1000.0,1000.0,SGD
3,18472,Real Time gigapixel camera software development with Nvidia TX2 board,"Incorporating image processing algorithms, image streaming, recording and GUI into one unified software framework for real time monitoring	
1. Master embedded software development 
2. Develop software to perform motion detection and rtsp streaming 
3. Using GPU processing to improve the software performance

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",2,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
4,18473,Real Time embedded software development and testing for laser system,"Develop embedded software framework for application processor and real time processor in xilinx ultrascale zynq FPGA	

1. Develop software to run both application processor and real time processor to control laser system
2. Develop software test framework to test and troubleshoot software and laser system

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
5,18474,Intern ,"Internship Job Description:
i.	Assist engineer in design and development of machine control software for full line automation systems from concept to on-site installation.
ii.	Assist in circuit design on machine control for full line automation systems.
iii.	Involve in machine setups and troubleshooting.
iv.	Provide field support of automation machines.

Training Location, if differ from company address:
Bedok Reservoir Road",PSB Technologies Pte Ltd,"2306 Bedok Reservoir Road Bedok Ind. Park C 1st Floor, 479224, Singapore",2,Please ensure that you attach a copy of your C.V. with your application.,,2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,800.0,800.0,SGD
6,18475,Software Engineering ,"Roles and Responsibilities:
1. Build new mobile apps using native language (iOS/Android). 
2. Develop new AWS Technologies to add on to our tools. E.g. Rekognition.
3. Come up with solutions that will improve our in-house and customers’ mobile apps performance.
4. Propose innovative products that will improve existing solutions in the market.

Requirements:
1. Strong programming foundation and able to solve bugs independently.
2. Good to have past programming experience in Objective-C, Android, JavaScript and Python.
3. Keen to learn new technologies especially from AWS cloud services.
",Wong Fong Engineering Works (1988) Pte Ltd,"79 Joo Koon Circle, 629107, Singapore",2,Please ensure that you attach a copy of your C.V. and Degree Audit with your application.,Interview will be conducted to assess the suitability of the applicant(s).,2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,1000.0,1000.0,SGD
7,18476,Browser based GUI for real time video display and control of pan-tilt system,"Development of browser based GUI softare using Microsoft Blazor/ReactJS with the real time lag-free video display and fast control response	

1. Master Blazor/ReactJS software development
2. Employ zeroMQ video streaming for low latency video display
3. Design user friendly interface to control the pan-tilt system

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",2,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
8,18477,Real Time software/firmware development for RISCV/ARM processor for satellite payload system,"Develop firmware/software using xilinx/microsemi FPGA	

1. Dynamic Bootloading of software/firmware
2. Develop CAN communication routines to communicate with satellite system
3. Testing of fault tolerant features of the embedded software system

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
9,18483,Verification for integrated circuit design through image processing/Machine Learning,"Design verification via circuit extraction of delayered integrated circuit's images is an important part of hardware assurance which protects covert trojan insertion during the fabrication process.  However these images tend to have high noise level that result in failed electrical nets extraction. The objective of this project is to explore using Machine Learning and/or image processing techniques to improve the accuracy and robustness of extraction.	

Student will be tasked to use image processing and machine learning techniques to develop toolset for design verification

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",2,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
